year,month,mode_canonical,patronage
2024,6,regional_bus,994915
2024,7,regional_bus,1068435
2024,8,regional_bus,1183307
2024,9,regional_bus,1027230
2024,10,regional_bus,1193762
2024,11,regional_bus,940930
2024,12,regional_bus,921439
2025,1,regional_bus,782149
2025,2,regional_bus,1025310
2025,3,regional_bus,1147175
2025,4,regional_bus,961133
2025,5,regional_bus,1110728
2025,6,regional_bus,962106
2025,7,regional_bus,956183
2025,8,regional_bus,990904
2025,9,regional_bus,940369
2025,10,regional_bus,1117069
2025,11,regional_bus,936233
2025,12,regional_bus,895411
2026,1,regional_bus,771902
