fin_year,stop_id,stop_name,stop_lat,stop_long,network,pax_annual,pax_weekday,pax_norm_weekday,pax_sch_hol_weekday,pax_saturday,pax_sunday,pax_pre_am_peak,pax_am_peak,pax_interpeak,pax_pm_peak,pax_pm_late,stop_name_clean,stop_name_suffix,is_border_nsw
FY19-20,20004,Albion,-37.77765281,144.8247036,metro,537450,1800,1900,1450,850,600,250,1050,350,200,50,Albion,,False
FY19-20,20005,Epping,-37.65238715,145.0301217,metro,690350,2350,2450,1950,1100,750,350,950,550,500,100,Epping,,False
FY19-20,20006,Lalor,-37.66585075,145.0171932,metro,477500,1650,1700,1500,700,450,300,850,300,150,50,Lalor,,False
FY19-20,20007,Thomastown,-37.68033809,145.0142789,metro,600300,2000,2050,1850,1050,700,300,900,500,300,50,Thomastown,,False
FY19-20,20008,Keon Park,-37.69487012,145.0118838,metro,313250,1000,1050,950,600,400,150,350,250,250,50,Keon Park,,False
FY19-20,20009,Ruthven,-37.70789754,145.0095166,metro,334100,1100,1150,1000,550,400,150,650,200,100,50,Ruthven,,False
FY19-20,20010,Reservoir,-37.71688492,145.0069958,metro,517550,1700,1750,1600,900,650,200,650,450,400,50,Reservoir,,False
FY19-20,20011,Regent,-37.72840277,145.0027726,metro,399650,1350,1400,1200,600,400,200,800,250,150,50,Regent,,False
FY19-20,20012,Preston,-37.73867424,145.000522,metro,648650,2050,2150,1850,1400,900,150,750,600,550,100,Preston,,False
FY19-20,20013,Bell,-37.74556212,145.000155,metro,444100,1400,1450,1200,1000,750,100,600,300,350,100,Bell,,False
FY19-20,20014,Thornbury,-37.75505179,144.9985715,metro,544200,1700,1800,1250,1350,900,150,1000,350,250,50,Thornbury,,False
FY19-20,20015,Croxton,-37.764101,144.9970562,metro,281250,900,950,800,550,400,50,550,150,100,50,Croxton,,False
FY19-20,20016,Northcote,-37.76986537,144.9952772,metro,308200,1000,1050,850,600,400,50,450,200,300,50,Northcote,,False
